Date,Name,Year,Letterboxd URI,Type,Genre,IMDbRating,Runtime,OMDbYear
2025-03-22,Peeping Tom,,https://boxd.it/1Utk,movie,"Drama, Horror, Thriller",7.6,101 min,1960
2025-03-22,A Few Good Men,,https://boxd.it/29nw,movie,"Drama, Thriller",7.7,138 min,1992
2025-03-25,Let the Right One In,,https://boxd.it/1Qr0,movie,"Drama, Fantasy, Horror",7.8,114 min,2008
2025-03-25,The Day of the Jackal,,https://boxd.it/23GM,series,"Action, Crime, Drama",8.1,N/A,2024–
2025-03-25,The Game,,https://boxd.it/26vC,movie,"Drama, Mystery, Thriller",7.7,129 min,1997
2025-03-25,Kingsman: The Golden Circle,,https://boxd.it/buJm,movie,"Action, Adventure, Comedy",6.7,141 min,2017
2025-03-25,Back to the Future,,https://boxd.it/2b8e,movie,"Adventure, Comedy, Sci-Fi",8.5,116 min,1985
2025-03-25,The Shawshank Redemption,,https://boxd.it/2aHi,movie,Drama,9.3,142 min,1994
2025-03-25,Fight Club,,https://boxd.it/2a9q,movie,"Crime, Drama, Thriller",8.8,139 min,1999
2025-03-25,Jojo Rabbit,,https://boxd.it/iEBG,movie,"Comedy, Drama, War",7.9,108 min,2019
2025-03-25,Heat,,https://boxd.it/2bg8,movie,"Action, Crime, Drama",8.3,170 min,1995
2025-03-25,Citizen Kane,,https://boxd.it/71O,movie,"Drama, Mystery",8.3,119 min,1941
2025-03-25,The Godfather Part II,,https://boxd.it/2aNq,movie,"Crime, Drama",9.0,202 min,1974
2025-03-25,The Godfather,,https://boxd.it/2aNK,movie,"Crime, Drama",9.2,175 min,1972
2025-03-25,Clue,,https://boxd.it/1MDQ,movie,"Comedy, Crime, Mystery",7.3,94 min,1985
2025-03-25,Django Unchained,,https://boxd.it/2cCk,movie,"Comedy, Drama, Western",8.5,165 min,2012
2025-03-25,Seven Samurai,,https://boxd.it/2axi,movie,"Action, Drama",8.6,207 min,1954
2025-03-25,The Shining,,https://boxd.it/29Nu,movie,"Drama, Horror",8.4,146 min,1980
2025-03-25,A Clockwork Orange,,https://boxd.it/2aVE,movie,"Crime, Sci-Fi",8.2,136 min,1971
2025-03-25,2001: A Space Odyssey,,https://boxd.it/2bf0,movie,"Adventure, Sci-Fi",8.3,149 min,1968
2025-03-25,Vertigo,,https://boxd.it/2apI,movie,"Mystery, Romance, Thriller",8.3,128 min,1958
2025-03-25,Blade Runner,,https://boxd.it/2bcA,movie,"Action, Drama, Sci-Fi",8.1,117 min,1982
2025-03-25,The Exorcist,,https://boxd.it/1Yoo,movie,Horror,8.1,122 min,1973
2025-03-25,Scarface,,https://boxd.it/2b7g,movie,"Crime, Drama",8.3,170 min,1983
2025-03-25,The Terminator,,https://boxd.it/2aQY,movie,"Action, Adventure, Sci-Fi",8.1,107 min,1984
2025-03-25,The Matrix,,https://boxd.it/2a1m,movie,"Action, Sci-Fi",8.7,136 min,1999
2025-03-25,Cinema Paradiso,,https://boxd.it/1UlA,movie,"Drama, Romance",8.5,174 min,1988
